"352920", "35112", "Alta Sorocabana"
"352930", "35033", "Norte do DRS III"
"352940", "35015", "Grande ABC"
"352950", "35156", "José Bonifácio"
"352960", "35154", "Fernandópolis"
"352965", "35153", "Jales"
"352970", "35083", "Alta Mogiana"
"352980", "35064", "Jaú"
"352990", "35121", "Vale do Ribeira"
"353000", "35154", "Fernandópolis"
"353010", "35022", "Lagos do DRS II"
"353020", "35115", "Pontal do Paranapanema"
"353030", "35155", "São José do Rio Preto"
"353040", "35155", "São José do Rio Preto"
"353050", "35143", "Rio Pardo"
"353060", "35011", "Alto do Tietê"
"353070", "35141", "Baixa Mogiana"
"353080", "35141", "Baixa Mogiana"
"353090", "35103", "Piracicaba"
"353100", "35157", "Votuporanga"
"353110", "35041", "Baixada Santista"
"353120", "35074", "Circuito das Águas"
"353130", "35131", "Horizonte Verde"
"353140", "35156", "José Bonifácio"
"353150", "35052", "Sul - Barretos"
"353160", "35111", "Alta Paulista"
"353170", "35171", "Alto Vale do Paraíba"
"353180", "35072", "Reg Metro Campinas"
"353190", "35082", "Alta Anhanguera"
"353200", "35072", "Reg Metro Campinas"
"353205", "35031", "Central do DRS III"
"353210", "35022", "Lagos do DRS II"
"353215", "35113", "Alto Capivari"
"353220", "35112", "Alta Sorocabana"
"353230", "35174", "V. Paraíba-Reg. Serrana"
"353240", "35071", "Bragança"
"353250", "35155", "São José do Rio Preto"
"353260", "35157", "Votuporanga"
"353270", "35156", "José Bonifácio"
"353280", "35155", "São José do Rio Preto"
"353282", "35162", "Itapeva"
"353284", "35152", "Santa Fé do Sul"
"353286", "35021", "Central do DRS II"
"353290", "35032", "Centro Oeste do DRS III"
"353300", "35155", "São José do Rio Preto"
"353310", "35111", "Alta Paulista"
"353320", "35022", "Lagos do DRS II"
"353325", "35151", "Catanduva"
"353330", "35021", "Central do DRS II"
"353340", "35072", "Reg Metro Campinas"
"353350", "35151", "Catanduva"
"353360", "35082", "Alta Anhanguera"
"353370", "35093", "Marília"
"353380", "35094", "Ourinhos"
"353390", "35051", "Norte - Barretos"
"353400", "35155", "São José do Rio Preto"
"353410", "35093", "Marília"
"353420", "35155", "São José do Rio Preto"
"353430", "35082", "Alta Anhanguera"
"353440", "35014", "Rota dos Bandeirantes"
"353450", "35093", "Marília"
"353460", "35091", "Adamantina"
"353470", "35094", "Ourinhos"
"353475", "35154", "Fernandópolis"
"353480", "35111", "Alta Paulista"
"353490", "35091", "Adamantina"
"353500", "35155", "São José do Rio Preto"
"353510", "35151", "Catanduva"
"353520", "35153", "Jales"
"353530", "35092", "Assis"
"353540", "35111", "Alta Paulista"
"353550", "35092", "Assis"
"353560", "35171", "Alto Vale do Paraíba"
"353570", "35151", "Catanduva"
"353580", "35061", "Vale do Jurumirim"
"353590", "35153", "Jales"
"353600", "35095", "Tupã"
"353610", "35063", "Polo Cuesta"
"353620", "35121", "Vale do Ribeira"
"353625", "35157", "Votuporanga"
"353630", "35081", "Três Colinas"
"353640", "35111", "Alta Paulista"
"353650", "35072", "Reg Metro Campinas"
"353657", "35062", "Bauru"
"353660", "35155", "São José do Rio Preto"
"353670", "35062", "Bauru"
"353680", "35071", "Bragança"
"353690", "35154", "Fernandópolis"
"353700", "35081", "Três Colinas"
"353710", "35072", "Reg Metro Campinas"
"353715", "35092", "Assis"
"353720", "35121", "Vale do Ribeira"
"353730", "35023", "Consórcios do DRS II"
"353740", "35022", "Lagos do DRS II"
"353750", "35063", "Polo Cuesta"
"353760", "35041", "Baixada Santista"
"353770", "35023", "Consórcios do DRS II"
"353780", "35163", "Sorocaba"
"353790", "35163", "Sorocaba"
"353800", "35174", "V. Paraíba-Reg. Serrana"
"353810", "35151", "Catanduva"
"353820", "35071", "Bragança"
"353830", "35114", "Extremo Oeste Paulista"
"353850", "35172", "Circ. da Fé/V.Histórico"
"353860", "35071", "Bragança"
"353870", "35103", "Piracicaba"
"353880", "35061", "Vale do Jurumirim"
"353890", "35062", "Bauru"
"353900", "35151", "Catanduva"
"353910", "35014", "Rota dos Bandeirantes"
"353920", "35112", "Alta Sorocabana"
"353930", "35101", "Araras"
"353940", "35062", "Bauru"
"353950", "35131", "Horizonte Verde"
"353960", "35156", "José Bonifácio"
"353970", "35092", "Assis"
"353980", "35011", "Alto do Tietê"
"353990", "35156", "José Bonifácio"
"354000", "35093", "Marília"
"354010", "35065", "Lins"
"354020", "35131", "Horizonte Verde"
"354025", "35153", "Jales"
"354030", "35157", "Votuporanga"
"354040", "35154", "Fernandópolis"
"354050", "35063", "Polo Cuesta"
"354060", "35163", "Sorocaba"
"354070", "35034", "Coração do DRS III"
"354075", "35172", "Circ. da Fé/V.Histórico"
"354080", "35155", "São José do Rio Preto"
"354085", "35091", "Adamantina"
"354090", "35131", "Horizonte Verde"
"354100", "35041", "Baixada Santista"
"354105", "35063", "Polo Cuesta"
"354110", "35062", "Bauru"
"354120", "35112", "Alta Sorocabana"
"354130", "35114", "Extremo Oeste Paulista"
"354140", "35112", "Alta Sorocabana"
"354150", "35114", "Extremo Oeste Paulista"
"354160", "35065", "Lins"
"354165", "35161", "Itapetininga"
"354170", "35113", "Alto Capivari"
"354180", "35095", "Tupã"
"354190", "35172", "Circ. da Fé/V.Histórico"
"354200", "35093", "Marília"
"354210", "35103", "Piracicaba"
"354220", "35113", "Alto Capivari"
"354230", "35174", "V. Paraíba-Reg. Serrana"
"354240", "35112", "Alta Sorocabana"
"354250", "35062", "Bauru"
"354260", "35121", "Vale do Ribeira"
"354270", "35081", "Três Colinas"
"354280", "35162", "Itapeva"
"354290", "35034", "Coração do DRS III"
"354300", "35162", "Itapeva"
"354310", "35081", "Três Colinas"
"354320", "35094", "Ourinhos"
"354323", "35112", "Alta Sorocabana"
"354325", "35161", "Itapetininga"
"354330", "35015", "Grande ABC"
"354340", "35132", "Aquífero Guarani"
"354350", "35162", "Itapeva"
"354360", "35081", "Três Colinas"
"354370", "35031", "Central do DRS III"
"354380", "35095", "Tupã"
"354390", "35104", "Rio Claro"
"354400", "35103", "Piracicaba"
"354410", "35015", "Grande ABC"
"354420", "35157", "Votuporanga"
"354425", "35115", "Pontal do Paranapanema"
"354430", "35172", "Circ. da Fé/V.Histórico"
"354440", "35021", "Central do DRS II"
"354450", "35152", "Santa Fé do Sul"
"354460", "35065", "Lins"
"354470", "35091", "Adamantina"
"354480", "35151", "Catanduva"
"354490", "35082", "Alta Anhanguera"
"354500", "35011", "Alto do Tietê"
"354510", "35091", "Adamantina"
"354515", "35103", "Piracicaba"
"354520", "35163", "Sorocaba"
"354530", "35163", "Sorocaba"
"354540", "35094", "Ourinhos"
"354550", "35112", "Alta Sorocabana"
"354560", "35151", "Catanduva"
"354570", "35153", "Jales"
"354580", "35072", "Reg Metro Campinas"
"354600", "35171", "Alto Vale do Paraíba"
"354610", "35152", "Santa Fé do Sul"
"354620", "35101", "Araras"
"354625", "35133", "Vale das Cachoeiras"
"354630", "35142", "Mantiqueira"
"354640", "35094", "Ourinhos"
"354650", "35033", "Norte do DRS III"
"354660", "35152", "Santa Fé do Sul"
"354670", "35104", "Rio Claro"
"354680", "35011", "Alto do Tietê"
"354690", "35031", "Central do DRS III"
"354700", "35103", "Piracicaba"
"354710", "35111", "Alta Paulista"
"354720", "35153", "Jales"
"354730", "35014", "Rota dos Bandeirantes"
"354740", "35152", "Santa Fé do Sul"
"354750", "35132", "Aquífero Guarani"
"354760", "35132", "Aquífero Guarani"
"354765", "35153", "Jales"
"354770", "35112", "Alta Sorocabana"
"354780", "35015", "Grande ABC"
"354790", "35133", "Vale das Cachoeiras"
"354800", "35072", "Reg Metro Campinas"
"354805", "35021", "Central do DRS II"
"354810", "35142", "Mantiqueira"
